iyear,incidents,fatalities,injuries,security_fatalities,civilian_casualties,Hostage taking,Armed Assault,Bombing/Explosion,Assassination,Unarmed Assault,Facility/Infra attack,Unknown type attacks,Hijacking
2000,180,671.0,761.0,212.0,459.0,16,64,84,11,1.0,3,1.0,0.0
2001,234,660.0,1144.0,268.0,392.0,12,96,92,21,4.0,6,3.0,0.0
2002,184,599.0,1186.0,201.0,398.0,6,66,91,18,0.0,1,1.0,1.0
2003,196,472.0,1183.0,147.0,325.0,9,70,89,22,1.0,5,0.0,0.0
2004,108,334.0,949.0,154.0,180.0,4,32,65,4,0.0,3,0.0,0.0
2005,146,468.0,1223.0,133.0,335.0,7,45,79,10,0.0,3,2.0,0.0
2006,167,722.0,2138.0,140.0,582.0,9,48,98,9,0.0,2,1.0,0.0
2007,150,626.0,1192.0,220.0,406.0,7,45,87,7,0.0,2,2.0,0.0
2008,535,904.0,1929.0,167.0,737.0,65,163,258,12,2.0,22,9.0,4.0
2009,672,774.0,854.0,327.0,447.0,54,232,246,12,2.0,82,39.0,5.0
2010,663,812.0,660.0,269.0,543.0,111,211,211,13,5.0,95,15.0,2.0
2011,645,499.0,730.0,184.0,315.0,98,205,209,10,7.0,89,27.0,0.0
2012,613,264.0,651.0,134.0,130.0,59,121,342,30,3.0,52,6.0,0.0
2013,694,467.0,771.0,208.0,259.0,74,165,342,45,4.0,52,10.0,2.0
2014,860,490.0,776.0,201.0,289.0,136,208,364,50,12.0,72,16.0,2.0
2015,885,387.0,654.0,221.0,166.0,155,169,395,34,9.0,91,29.0,3.0
2016,1027,467.0,788.0,248.0,219.0,151,198,467,53,24.0,108,26.0,0.0
2017,967,465.0,703.0,204.0,261.0,123,218,302,69,37.0,203,10.0,5.0
2018,889,413.0,650.0,204.0,209.0,144,237,320,53,24.0,101,6.0,4.0
2019,622,310.0,496.0,134.0,176.0,83,119,287,40,14.0,69,6.0,4.0
2020,450,212.0,380.0,105.0,107.0,59,115,200,27,9.0,30,10.0,0.0
